,venue,latitude,longitude,price_for_two,price_range,rating,address
277,Green Bawarchi,17.493693,78.402911,550.0,2.0,3.3,"17-19, 1st Floor, Alluri Complex, Near KPHB Metro Station, Bhagyanagar Colony, Kukatpally, Hyderabad"
278,Sri Krishna Sweets,17.492921,78.404469,350.0,1.0,3.8,"Ground Floor, South India Shopping Mall, KPHB Colony, Kukatpally, Hyderabad"
279,Hotel Sitara Grand,17.492102,78.401996,800.0,2.0,2.9,"15-24-20/21/22, MIG, Phase 1, Kukatpally, Hyderabad"
280,KFC,17.492679,78.404694,500.0,2.0,4.0,"Ground Floor, South India Shopping Mall, Balanagar, KS Raju Nagar, Kukatpally, Hyderabad"
281,Lucky Restaurant,17.343768,78.506871,600.0,2.0,4.1,"DRDL Cross Roads, Opposite Owaisi Hospital, Santosh Nagar, Near Saroor Nagar, Hyderabad"
282,KFC,17.346013,78.552522,500.0,2.0,4.1,"49/7, 49/14 & 49/15, Bahadurguda Village, Saroornagar Mandal, Beside HP Gas Station, L B Nagar, Hyderabad"
283,Abinand Grand,17.352935,78.555489,800.0,2.0,3.8,"plot no. 11 Shivaganga Colony, Opposite Kamineni Hospital, L B Nagar, Hyderabad"
284,Bawarchi Mughal Restaurant,17.496229,78.315718,600.0,2.0,3.8,"Shop 22-90, Laxmi Commercial Complex, BHEL Crossroads, Lingampally, Hyderabad"
285,New Sree Kaveri Family Restaurant,17.49484,78.318463,700.0,2.0,3.5,"Opposite Chaitanya Junior College, Near Lingampally Bus stop, Lingampally, Hyderabad"
286,Foodie Woodie,17.479168,78.30961,500.0,2.0,3.4,"Shop number G1, Madhu Vihar, Nallagandla Bypass road, Near to Fusion International School, Serilingampally"
287,New Silver Bawarchi Restaurant,17.496616,78.315177,400.0,1.0,2.9,"Beside IBP Petrol Pump, BHEL Crossroad, Lingampally, Hyderabad"
288,New Best Green Bawarchi,17.492706,78.512336,500.0,2.0,3.4,"Opposite Lothkunta Bus Stop, Siddipet Road, Alwal, Secunderabad"
289,Street Kitchen,17.362343,78.505098,200.0,1.0,3.5,"16-1-24/A, Amin Road, Sayeedabad, Malakpet, Hyderabad"
290,Abhiruchi Hotel,17.437873,78.390124,850.0,2.0,4.1,"Durgam Cheruvu Road, Near Nectar Gardens, Madhapur, Hyderabad"
291,Ci Gusta!,17.438271,78.395759,1400.0,3.0,4.5,"Plot 66, Jyothi Celeste, Kavuri Hills, Madhapur, Hyderabad"
292,Sanjha Chullha,17.441425,78.38886,400.0,1.0,3.8,"1-40/A, Hi-Tech City Road, Near Bombay Deying, Madhapur, Hyderabad"
293,Kritunga Restaurant,17.441073,78.391316,700.0,2.0,3.6,"Main Road, Beside Indian Oil Petrol Pump, Madhapur, Hyderabad"
294,Chutneys,17.434908,78.386763,800.0,2.0,4.1,"4th Floor, Food Court, Inorbit Mall, Hitech City, Hyderabad"
295,Wat-A-Burger!,17.441325,78.396662,450.0,1.0,3.8,"Sri Rama Colony, Madhapur, Hyderabad"
296,Hitech Bawarchi Food Court,17.441101,78.391579,600.0,2.0,3.4,"Opposite Indian Oil Petrol Bunk, Ayyapa Society, X Roads, Madhapur, Hyderabad"
297,KFC,17.444435,78.386686,450.0,1.0,3.8,"Survey-64, APIIC Software Layout Inorbit Mall, F&B 14-B Food Court Level, Hitech City, Hyderabad"
298,eat.fit,17.437268,78.399826,400.0,1.0,4.4,"MSR Towers, Road 36, CBI Colony, Jubilee Hills, Hyderabad"
299,Aqua Spirit - Hotel Daspalla,17.436797,78.398248,1600.0,3.0,3.6,"Hotel Daspalla, Road 37, Jubilee Hills, Hyderabad"
